Total Production,Vinnytsia,Volyn,Dnipropetrovsk,Donetsk,Zhytomyr,Transcarpathian,Zaporizhzhia,Ivano-Frankivsk,Kyiv,Kirovohrad,Luhansk,Lviv,Mykolaiv,Odessa,Poltava,Rivne,Sumy,Ternopil,Kharkiv,Kherson,Khmelnytskyi,Cherkasy,Chernivtsi,Chernihiv
14000000,274.09000004731433,492.9173783306707,232.97800004415998,232.97800004415998,428.5445179628258,274.09000004731433,256.48366917600475,457.76388356527923,349.4720000268114,274.09000004731433,327.464352733556,428.52563956271797,232.97800004415998,232.97800004415998,274.09000004731433,461.50123655115,427.5711320731493,366.49900967753723,308.3500000236572,232.97800004415998,308.3500000236572,274.09000004731433,458.7117045352098,459.7932206687041
15000000,274.09,489.93483585599995,232.978,232.978,428.5445176,274.09,256.4836688,486.89826545600005,349.472,274.09,327.464352,428.5256392,232.978,232.978,274.09,461.501236,427.5711316,356.314,308.35,232.978,308.35,274.09,458.711704,466.09968942399996
16000000,274.0899999586,479.52052056764734,232.97799996135996,232.97799996135996,428.5445172825274,274.0899999586,256.48366847099584,499.08514892982424,349.47199997654,274.0899999586,327.4643513581385,442.05743733354245,232.97799996135996,232.97799996135996,274.0899999586,461.50123551774374,427.57113118599443,356.31399995308,308.3499999793,232.97799996135996,308.3499999793,274.0899999586,458.7117035316914,471.61784952576073
17000000,274.0900000389648,470.331420415442,232.97800003636704,232.97800003636704,428.5445178987977,274.0900000389648,256.4836691096509,499.08515023075364,349.47200002207995,274.0900000389648,327.46435260410493,464.93311775137505,232.97800003636704,232.97800003636704,274.0900000389648,461.5012364538882,427.5711319896524,356.3140000441601,308.35000001948237,232.97800003636704,308.35000001948237,274.0900000389648,458.711704440761,478.62285037457895
18000000,274.09,462.16332994666664,232.978,232.978,428.5445176,274.09,256.4836688,499.08514959999997,349.472,274.09,327.464352,485.26705381333335,232.978,232.978,274.09,461.501236,427.5711316,356.314,308.35,232.978,308.35,274.09,458.711704,490.61655304
19000000,274.0899999651368,458.36543305985504,232.97799996746102,232.97799996746102,428.54451733265466,274.0899999651368,256.48366852294384,499.08514903564145,349.9967149085612,274.0899999651368,327.46435145948504,497.95244504041074,232.97799996746102,232.97799996746102,274.0899999651368,461.5012355938895,427.5711312513637,356.31399996048845,308.3499999825684,232.97799996746102,308.3499999825684,274.0899999651368,462.5030468512571,500.826201236236
20000000,274.09000003312,462.22341833656964,232.978000030912,232.978000030912,428.5445178539781,274.09000003312,256.4836690632033,499.08515013614067,356.0234407489738,274.09000003312,327.4643525134892,497.95244613160986,232.978000030912,232.978000030912,274.09000003312,461.501236385805,427.5711319312046,356.314000037536,308.35000001656,232.978000030912,308.35000001656,274.09000003312,473.7736761558862,504.4938162122464
21000000,274.09000000000003,465.71397487999997,232.978,232.978,428.54451759999995,274.09000000000003,256.4836688,499.08514959999997,375.1758926171429,274.09000000000003,327.464352,497.9524456,232.978,232.978,274.09000000000003,461.501236,427.5711316,356.314,308.35,232.978,308.35,274.09000000000003,483.97091093714283,494.19483889142856
22000000,274.0899999698909,468.8872080770683,232.97799997189816,232.97799997189816,428.5445173691108,274.0899999698909,256.48366856072425,499.0851491125994,399.14728515024814,274.0899999698909,327.46435153319163,497.95244511671837,232.97799997189816,232.97799997189816,274.0899999698909,461.5012356492682,427.571131298905,356.31399996587646,308.34999998494544,232.97799997189816,308.34999998494544,274.0899999698909,493.24112430385816,478.31152186105834
23000000,274.09000002880003,471.7845094737513,232.97800002687998,232.97800002687998,428.5445178208505,274.09000002880003,256.48366902887244,499.08515006620934,421.0342081724129,274.09000002880003,327.46435244651235,497.9524460622694,232.97800002687998,232.97800002687998,274.09000002880003,461.5012363354826,427.571131888004,356.31400003263997,308.3500000144,232.97800002687998,308.3500000144,274.09000002880003,501.7052339892282,463.80936009289314
